time,open,high,low,close,volume
1,126.37769490457345,128.3240390341733,126.12492010120684,126.41139221191406,3115800
1,126.72319262581185,127.3972547597433,125.86377594029844,126.82431030273438,2681400
1,127.33819926165754,128.87167709395183,126.71468993922805,128.7368621826172,2947600
1,125.17285008628006,128.0376107437859,124.17861847120334,127.73428344726562,5552600
1,127.85218109806935,127.87745728908385,126.41137392694986,127.1444091796875,2155600
1,126.35246899109318,127.13605705102708,124.36399279352021,124.84425354003906,3159600
1,124.41453568598533,128.00389790627656,123.94269609158061,127.18659973144531,3156300
1,127.52363506444767,129.33516480339293,127.48992489017397,128.9560089111328,2395300
1,129.09079101196653,130.33779715249335,127.27082776471471,128.80430603027344,1413000
1,129.63007469300481,129.7564557084965,127.56575715776503,128.66954040527344,1829900
1,128.2903142750008,129.1665984460916,127.77634361407036,128.63577270507812,1218400
1,127.90274822320043,130.11028820398283,127.90274822320043,129.90806579589844,1398500
1,129.50366432194775,130.59901345776487,128.60211652741384,129.80699157714844,1485500
1,129.60475506472653,130.37992169890066,129.41095376368762,129.62159729003906,1583200
1,130.24510985280688,130.3462146337278,128.72005274283217,129.04022216796875,3611700
1,128.76217746492887,130.05131478268197,128.46727139337588,129.7058563232422,1367400
1,129.09076164209284,129.59629830242787,128.07124149693104,128.26502990722656,1943100
1,128.22289623328362,129.69740063075923,127.76791196184925,129.34352111816406,2127300
1,129.116011736737,129.82377063215637,127.10226090025319,127.5909423828125,2506500
1,127.90273742970453,129.70584529881708,127.88588234962148,128.63577270507812,1767400
1,128.7200678674185,130.9865945882255,128.50942431130872,130.8180694580078,1655400
1,131.36573577273128,133.32893503960872,131.14665827053685,132.78968811035156,2642700
1,133.09299412239713,134.64332719010656,132.7222595069321,132.77281188964844,2692400
1,133.01714383836654,134.04508507404458,132.28410862445077,133.3373260498047,1531500
1,133.69967391178162,133.96088272515257,131.8291709315912,132.89923095703125,1458400
1,133.03400615855574,133.12668981129832,131.20562215141481,131.43312072753906,1855600
1,131.28147048465797,132.6295942080729,130.78435484360475,132.09034729003906,1572600
1,130.11027849106068,130.2450934197195,127.63310881775674,128.09652709960938,4050100
1,128.89703854940822,128.89703854940822,127.16133720192842,127.77641296386719,2008500
1,127.5151207440032,128.0206701862413,125.5182248748099,125.58563232421875,2279000
1,126.04914334854624,126.95911244418798,125.13072742344002,126.82431030273438,2268300
1,127.7089731317208,128.1386813300685,126.88324118823641,127.97016906738281,2078800
1,128.56842333458152,128.83805331110514,127.3466930380381,127.56575775146484,2420000
1,128.03757559138808,129.5963300804627,127.9364579491996,129.0570831298828,2675900
1,128.7285294187224,129.5121303790675,128.29882105767274,129.1666717529297,1335800
1,129.57106371289962,129.6721685060961,128.48414861605005,129.48680114746094,1579000
1,129.52048214091184,129.66371818456275,128.5768033325483,128.69476318359375,1308700
1,128.48412574198898,128.69476926142235,126.96748983073653,127.58256530761719,2097600
1,127.27086162987011,127.9112135250358,125.84690888224483,126.3187484741211,2233900
1,126.36925654975812,127.80162991024606,125.93954839860977,127.65839385986328,1249000
1,128.13870102606066,129.29302370238116,127.79324247762516,128.57684326171875,1552900
1,128.6528736452307,128.88103221858998,127.26696569303891,128.2556915283203,1492800
1,128.45851056561716,129.84441864097917,127.72330708563652,127.9768295288086,2198100
1,126.76837262751987,127.58808785115878,124.61346419093594,125.17965698242188,3588800
1,125.7120076680663,127.95988621818827,124.85849568986957,127.5457992553711,3361500
1,126.8275752639104,128.89798550217336,126.42194697554362,127.9515151977539,2201300
1,126.86135379619988,128.45008262869737,126.28671487915376,128.03599548339844,2111600
1,125.89791440693624,127.08101440595819,123.69229188802412,124.93453979492188,4869300
1,124.27539396618964,124.64722503962659,122.31484770808956,123.75145721435547,3692200
1,124.08109302575136,125.88953448887649,123.81066560580896,125.56840515136719,2843800
1,126.2359634619722,126.74299532618882,125.70356775459507,126.38806915283203,1943900
1,125.39937909493497,125.65290154639231,123.86981126054872,124.32614135742188,2812700
1,124.49513529739802,124.87541243675177,123.65006925675216,123.98809051513672,2860400
1,123.65850999439539,123.98808522038581,121.94302703671651,122.1120376586914,2993600
1,122.11205694012232,123.869796054512,121.18247903045462,123.20218658447266,2615000
1,122.9571142241448,123.5824677633164,121.03036459983609,121.35149383544922,2928900
