time,open,high,low,close,volume
1,109.68000030517578,110.16999816894531,109.04989624023438,109.86000061035156,4313570
1,109.86000061035156,109.89710235595703,109.23999786376953,109.5999984741211,6092574
1,113.38999938964844,116.25,113.12000274658203,115.73999786376953,13909092
1,115.73999786376953,116.8499984741211,115.5199966430664,116.12999725341797,9702069
1,116.26000213623047,116.69999694824219,114.16999816894531,115.05000305175781,8110383
1,115.05010223388672,115.6500015258789,114.56999969482422,115.02999877929688,5304067
1,115.3499984741211,116.16000366210938,114.30999755859375,115.44999694824219,6917984
1,115.43000030517578,117.0,115.19000244140625,116.95999908447266,6848999
1,116.86000061035156,117.18000030517578,115.62999725341797,116.05999755859375,5718853
1,116.05000305175781,116.62999725341797,114.7699966430664,115.05500030517578,7311748
1,114.77999877929688,116.18000030517578,114.41999816894531,114.98999786376953,6552344
1,114.99500274658203,115.08999633789062,114.16999816894531,114.55000305175781,4891857
1,114.95999908447266,116.19989776611328,114.37999725341797,115.7699966430664,4832872
1,115.7699966430664,116.19000244140625,115.1500015258789,115.36000061035156,5343753
1,116.16000366210938,116.58999633789062,114.93000030517578,115.52999877929688,4961012
1,115.54000091552734,115.87000274658203,114.93000030517578,115.23999786376953,4472803
1,114.5999984741211,115.30000305175781,114.12999725341797,115.0,5088590
1,115.0,115.88999938964844,114.93000030517578,115.7699966430664,4841663
1,115.9000015258789,116.66000366210938,115.12000274658203,115.5,3439888
1,115.48999786376953,116.0999984741211,115.36000061035156,115.98999786376953,4414253
1,115.48999786376953,116.51000213623047,114.80999755859375,114.94000244140625,6578133
1,114.94499969482422,115.13990020751953,114.41999816894531,114.72000122070312,4593271
1,114.38999938964844,116.30999755859375,114.30000305175781,116.2699966430664,5290664
1,116.27999877929688,117.20999908447266,116.125,117.0,9419254
1,116.08000183105469,116.9000015258789,115.7699966430664,116.04000091552734,5040431
1,116.04000091552734,116.66000366210938,116.04000091552734,116.56999969482422,3815740
1,115.08000183105469,115.25499725341797,113.22979736328125,114.63999938964844,6259875
1,114.6449966430664,115.68000030517578,114.44999694824219,115.63999938964844,7243923
1,116.48999786376953,116.87999725341797,115.26000213623047,116.3499984741211,7802839
1,116.3550033569336,116.47000122070312,115.69000244140625,116.0,4512293
1,115.91999816894531,118.625,115.87999725341797,118.54000091552734,6970071
1,118.52999877929688,118.88500213623047,118.0999984741211,118.23999786376953,6798224
1,117.55000305175781,117.73999786376953,115.62999725341797,116.04000091552734,5479731
1,116.04000091552734,116.69499969482422,115.75,116.5199966430664,5219965
1,116.02999877929688,117.08999633789062,114.68000030517578,116.81169891357422,5568460
1,116.81999969482422,116.97000122070312,114.95500183105469,115.38999938964844,7041230
1,115.62000274658203,116.36000061035156,114.88179779052734,115.47000122070312,6819494
1,115.47000122070312,117.01000213623047,115.25,116.87000274658203,7672470
1,117.25,119.91999816894531,116.83000183105469,119.62999725341797,12327268
1,119.63999938964844,119.7300033569336,118.11000061035156,118.29000091552734,6767975
1,115.94000244140625,117.30000305175781,114.75,115.19989776611328,7110428
1,115.1865005493164,115.44000244140625,114.44999694824219,114.66000366210938,7088834
1,113.58999633789062,113.79000091552734,109.29000091552734,109.556396484375,10068989
1,109.52999877929688,111.01000213623047,109.37000274658203,110.12999725341797,11029388
1,109.08000183105469,109.80999755859375,108.33999633789062,109.18000030517578,6957904
1,109.16999816894531,109.70999908447266,107.75499725341797,107.91999816894531,7152519
1,107.9000015258789,108.75,106.0999984741211,106.55999755859375,6745891
1,106.56999969482422,107.44999694824219,105.91000366210938,106.06999969482422,8282206
1,108.55000305175781,109.05000305175781,107.52999877929688,108.79000091552734,6717046
1,108.80000305175781,109.43000030517578,108.5199966430664,108.72000122070312,5928446
1,110.5,110.97000122070312,109.5,109.56999969482422,5088642
1,109.58000183105469,109.83000183105469,109.04000091552734,109.11000061035156,4568710
1,108.33999633789062,109.7300033569336,108.23500061035156,108.97000122070312,4602480
1,108.97000122070312,110.2300033569336,108.94999694824219,109.16000366210938,5151656
1,109.73999786376953,110.01000213623047,107.16999816894531,107.51000213623047,6697918
1,107.5199966430664,108.12000274658203,106.70999908447266,107.7300033569336,5443123
1,106.48999786376953,106.81999969482422,105.30999755859375,105.81999969482422,6843428
1,105.8301010131836,106.13999938964844,104.93299865722656,105.77999877929688,8181507
1,106.30999755859375,107.01000213623047,105.43000030517578,105.44000244140625,5458626
1,105.43000030517578,105.86000061035156,104.7750015258789,105.79000091552734,5743929
1,105.51000213623047,105.83000183105469,104.69000244140625,105.47000122070312,5229149
1,105.45999908447266,105.92500305175781,104.58000183105469,105.08000183105469,6381325
1,104.62999725341797,104.80999755859375,102.0199966430664,102.43350219726562,7764271
1,102.44000244140625,102.8499984741211,102.36000061035156,102.51000213623047,5508806
1,103.5,104.7300033569336,102.8499984741211,104.70999908447266,5724856
1,104.72000122070312,105.2300033569336,104.58999633789062,104.83000183105469,5680403
1,104.55000305175781,105.69999694824219,104.12999725341797,105.16500091552734,4634299
1,105.16000366210938,105.91000366210938,104.8499984741211,105.7699966430664,5129191
1,106.56999969482422,107.05000305175781,105.81999969482422,106.41999816894531,5206807
1,106.41999816894531,106.83999633789062,106.02870178222656,106.23999786376953,4861581
1,105.83999633789062,107.04000091552734,105.80000305175781,106.18009948730469,4420432
1,106.19999694824219,106.26000213623047,104.87999725341797,104.97000122070312,6170372
1,105.98999786376953,108.22000122070312,105.75,107.81999969482422,6346948
1,107.80999755859375,107.97000122070312,106.23999786376953,106.41999816894531,6411904
1,107.37999725341797,108.51000213623047,106.7300033569336,107.76499938964844,6268518
1,107.7699966430664,107.81999969482422,107.08999633789062,107.58999633789062,5323979
1,105.94000244140625,106.18000030517578,104.70999908447266,105.72000122070312,6102030
1,105.73999786376953,106.43000030517578,105.36000061035156,105.68000030517578,4695638
1,106.47000122070312,106.94999694824219,105.01000213623047,105.33000183105469,3937757
1,105.31999969482422,105.41999816894531,104.83270263671875,104.9800033569336,4855585
1,103.2249984741211,104.04000091552734,102.61000061035156,103.52989959716797,5144690
1,103.5199966430664,104.12000274658203,103.11009979248047,104.0199966430664,4976560
1,102.29000091552734,103.04000091552734,102.04000091552734,102.33000183105469,4065088
1,102.34500122070312,102.48999786376953,101.73999786376953,102.2699966430664,6929195
1,101.75,105.58000183105469,101.26000213623047,104.33999633789062,5836369
1,104.33999633789062,104.48999786376953,103.16000366210938,103.38999938964844,5539326
1,105.16000366210938,105.87000274658203,104.52999877929688,105.41999816894531,5257675
1,105.41999816894531,106.12999725341797,105.33999633789062,105.73500061035156,6073244
1,107.19000244140625,107.29000091552734,105.08999633789062,106.06999969482422,4242665
1,106.0780029296875,106.22000122070312,105.25,105.30000305175781,4855129
1,104.1500015258789,106.11000061035156,103.9800033569336,105.56999969482422,5034622
1,105.56999969482422,106.2699966430664,105.37999725341797,106.1500015258789,4359732
1,106.79000091552734,108.88999938964844,106.7300033569336,108.83000183105469,6264099
1,108.83000183105469,108.87000274658203,108.2699966430664,108.54000091552734,6557023
1,108.7699966430664,109.13999938964844,105.9000015258789,107.54000091552734,6072370
1,107.55000305175781,108.58000183105469,107.47000122070312,108.19000244140625,5538495
1,108.45500183105469,108.61000061035156,107.23999786376953,107.72000122070312,5071328
1,107.70999908447266,108.04000091552734,107.16000366210938,107.44999694824219,4867697
1,106.18000030517578,107.05999755859375,105.7300033569336,105.80000305175781,5750561
1,105.80000305175781,106.5,105.55500030517578,106.44499969482422,6132462
1,107.37999725341797,108.33999633789062,106.76000213623047,106.76000213623047,5262478
1,106.76000213623047,107.1500015258789,106.2750015258789,106.44499969482422,5822455
1,107.44999694824219,108.11000061035156,104.93000030517578,105.01010131835938,5143012
1,105.01499938964844,105.30000305175781,104.38999938964844,105.16999816894531,7313619
1,105.5,107.02999877929688,105.44000244140625,106.53500366210938,5641168
1,106.52999877929688,106.80000305175781,105.68000030517578,105.91999816894531,7263741
1,106.36000061035156,106.7699966430664,105.15499877929688,105.80999755859375,9493485
1,105.80999755859375,106.37999725341797,104.95500183105469,105.18000030517578,9624937
1,104.68000030517578,104.7699966430664,102.12000274658203,102.66999816894531,6599276
1,102.66999816894531,103.16999816894531,102.62999725341797,102.7300033569336,6998654
1,102.5,104.62999725341797,102.33000183105469,104.48999786376953,5344641
1,104.48079681396484,104.58999633789062,103.81500244140625,103.87000274658203,4843418
1,102.83999633789062,103.88500213623047,102.6500015258789,103.44499969482422,4726577
1,103.44999694824219,103.52999877929688,103.05999755859375,103.30999755859375,5189272
1,102.58999633789062,102.81999969482422,101.64119720458984,102.02999877929688,4958954
1,102.02999877929688,102.4800033569336,101.62000274658203,102.38999938964844,6025667
1,102.19999694824219,104.54000091552734,102.19999694824219,104.51000213623047,4558935
1,104.51000213623047,104.90499877929688,104.18000030517578,104.30999755859375,5686937
1,104.04499816894531,104.60600280761719,103.2699966430664,103.70999908447266,4183927
1,103.69999694824219,104.61000061035156,103.61499786376953,104.55000305175781,5586143
1,104.30500030517578,105.66999816894531,103.19999694824219,105.66000366210938,4864121
1,105.66999816894531,105.81999969482422,105.1449966430664,105.41000366210938,5997593
1,105.66000366210938,106.1500015258789,105.12999725341797,105.91000366210938,4218867
1,105.91000366210938,106.7300033569336,105.84500122070312,106.70999908447266,5125522
1,107.31999969482422,107.76000213623047,106.81009674072266,107.61000061035156,4353670
1,107.61000061035156,107.875,107.18000030517578,107.23999786376953,5618099
1,107.2699966430664,108.45999908447266,107.06999969482422,107.76000213623047,5150841
1,107.62999725341797,107.91999816894531,106.12000274658203,106.55000305175781,5174053
1,106.54499816894531,107.05000305175781,106.0999984741211,106.91000366210938,5165211
1,105.08999633789062,105.72000122070312,102.43000030517578,102.54000091552734,7541302
1,102.55999755859375,103.55000305175781,102.54499816894531,102.93499755859375,7169245
1,101.91999816894531,103.30999755859375,101.55999755859375,103.29000091552734,9272284
1,103.2699966430664,104.0,103.1500015258789,103.19000244140625,8930100
1,102.97000122070312,104.6500015258789,102.75,104.51000213623047,6854636
1,104.51000213623047,104.75,104.1500015258789,104.72000122070312,5533157
1,105.26000213623047,105.89099884033203,104.80999755859375,105.62000274658203,5300290
1,105.61000061035156,106.16000366210938,105.55000305175781,105.97000122070312,5436664
1,107.0,107.6500015258789,106.16000366210938,106.26000213623047,6052333
1,106.2699966430664,106.8550033569336,106.13999938964844,106.5199966430664,3978687
1,105.97000122070312,106.2300033569336,103.9800033569336,104.01000213623047,13299890
1,104.01000213623047,104.8499984741211,103.31999969482422,104.5199966430664,11075300
1,104.05000305175781,104.05000305175781,101.45999908447266,101.47000122070312,11295660
1,101.46499633789062,101.51000213623047,100.52999877929688,100.95999908447266,13699187
1,100.72000122070312,101.19999694824219,100.22000122070312,100.51000213623047,7705031
1,100.50499725341797,101.66500091552734,100.45999908447266,101.37000274658203,7546650
1,100.91999816894531,102.19999694824219,100.33999633789062,101.4749984741211,9108802
1,101.47000122070312,101.5199966430664,100.80000305175781,100.93000030517578,12700387
1,101.05000305175781,102.4000015258789,100.80000305175781,101.76499938964844,7185765
1,101.7699966430664,101.94000244140625,101.52999877929688,101.61000061035156,5780487
1,102.53500366210938,103.5199966430664,102.36000061035156,102.98999786376953,6260786
1,102.98999786376953,103.66000366210938,102.87000274658203,103.41000366210938,6532271
1,104.16000366210938,104.37999725341797,103.26000213623047,103.83499908447266,8081419
1,103.83499908447266,104.0,103.30999755859375,103.9000015258789,7053350
1,104.36000061035156,106.16000366210938,103.95999908447266,105.80999755859375,7484087
1,105.80500030517578,105.98999786376953,105.17009735107422,105.52999877929688,5911626
1,105.19000244140625,105.69999694824219,104.54000091552734,105.45999908447266,4466634
1,105.45999908447266,106.09010314941406,105.41000366210938,105.68000030517578,5874143
1,105.11000061035156,105.63999938964844,104.63909912109375,104.91999816894531,4613923
1,104.91000366210938,105.72000122070312,104.69999694824219,105.11000061035156,6220234
1,106.0,106.44999694824219,104.73999786376953,106.43000030517578,6537979
1,106.42259979248047,106.98999786376953,105.12000274658203,105.41999816894531,8703640
1,105.11000061035156,105.16000366210938,102.31999969482422,103.65499877929688,8422755
1,103.6510009765625,104.31999969482422,103.4749984741211,104.12999725341797,6842337
1,105.19000244140625,107.86000061035156,105.19000244140625,107.62000274658203,9333960
1,107.61000061035156,107.61499786376953,106.73500061035156,107.23999786376953,10026735
1,106.94999694824219,107.31999969482422,105.52999877929688,105.86000061035156,5151563
1,105.8499984741211,106.63999938964844,105.83999633789062,106.62000274658203,5308970
1,106.26000213623047,106.375,104.56999969482422,104.69000244140625,6221358
1,104.68000030517578,105.4800033569336,104.56999969482422,105.27999877929688,5454983
1,105.75,107.4800033569336,105.30000305175781,107.39730072021484,6732577
1,107.4000015258789,107.87999725341797,107.11000061035156,107.12000274658203,6734879
1,108.08999633789062,109.23999786376953,107.83000183105469,108.99500274658203,6276907
1,108.99009704589844,109.0999984741211,107.33000183105469,107.44000244140625,6565065
1,107.9000015258789,108.41999816894531,106.50499725341797,106.98999786376953,5493048
1,106.98999786376953,107.27999877929688,106.62999725341797,107.19999694824219,5065640
1,105.93000030517578,107.19000244140625,104.83499908447266,107.06999969482422,5829280
1,107.08000183105469,107.75,106.72000122070312,107.72000122070312,5685013
1,108.70999908447266,110.16000366210938,108.30999755859375,109.0199966430664,8807314
1,109.0199966430664,110.41500091552734,108.88999938964844,109.55999755859375,8816207
1,110.19000244140625,111.62999725341797,110.12999725341797,110.32499694824219,7935087
1,110.31999969482422,110.68579864501953,109.44000244140625,110.12999725341797,6080659
1,110.37000274658203,112.06999969482422,110.05000305175781,111.73310089111328,6289754
1,111.73999786376953,111.88999938964844,111.30999755859375,111.83000183105469,6242882
1,111.83999633789062,111.9800033569336,110.77999877929688,111.18499755859375,5679166
1,111.18499755859375,111.91999816894531,111.08499908447266,111.91999816894531,5741284
1,110.74500274658203,110.86000061035156,108.52999877929688,108.6050033569336,6708101
1,108.61000061035156,108.70999908447266,107.96499633789062,108.16000366210938,6101155
1,108.27999877929688,109.33000183105469,107.7699966430664,107.80999755859375,4910218
1,107.80999755859375,107.93000030517578,106.2750015258789,106.33999633789062,7005214
1,107.41999816894531,110.1449966430664,107.41999816894531,109.58999633789062,7236506
1,109.58999633789062,109.68720245361328,108.23999786376953,108.38999938964844,7624301
1,107.63999938964844,110.04000091552734,107.62000274658203,109.9115982055664,6547455
1,109.91500091552734,110.19499969482422,109.58000183105469,110.05999755859375,7322533
1,110.36000061035156,110.97930145263672,108.4000015258789,108.66000366210938,4407908
1,108.6500015258789,108.9800033569336,108.1416015625,108.72000122070312,5062313
1,109.16999816894531,109.72000122070312,108.68000030517578,109.20500183105469,3846243
1,109.2249984741211,109.23049926757812,107.94999694824219,108.0999984741211,5155547
1,107.04000091552734,107.22000122070312,105.72000122070312,107.02999877929688,5383255
1,107.0199966430664,107.30000305175781,106.80000305175781,107.18000030517578,4359616
1,106.41999816894531,107.7300033569336,106.06999969482422,107.72000122070312,4258059
1,107.71499633789062,107.76499938964844,106.29000091552734,106.31999969482422,4713003
1,107.43000030517578,108.52999877929688,106.62000274658203,108.50499725341797,5120185
