Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Positionsgröße (Menge),Positionsgröße (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
25,Short-Einstieg,2022-09-21 20:00,Short,1659.97,5,8299.85,-50.56,-0.61,29.97,0.36,-49.73,-0.60,-229.44,-2.29
26,Short-Ausstieg,2022-09-23 14:00,Partial TP,1647.51,1.4,2315.306,8.33,0.36,17.32,0.75,-6.55,-0.28,-221.35,-2.21
26,Short-Einstieg,2022-09-23 10:00,Short,1653.79,1.4,2315.306,8.33,0.36,17.32,0.75,-6.55,-0.28,-221.35,-2.21
27,Short-Ausstieg,2022-09-30 08:00,SL Short,1670.95,1.4,2315.306,-24.49,-1.06,54.33,2.35,-24.26,-1.05,-245.6,-2.46
27,Short-Einstieg,2022-09-23 10:00,Short,1653.79,1.4,2315.306,-24.49,-1.06,54.33,2.35,-24.26,-1.05,-245.6,-2.46
28,Short-Ausstieg,2022-10-27 16:00,Partial TP,1658.18,2.9,4811.187,1.5,0.03,11.61,0.24,0,0.00,-244.58,-2.45
28,Short-Einstieg,2022-10-27 14:00,Short,1659.03,2.9,4811.187,1.5,0.03,11.61,0.24,0,0.00,-244.58,-2.45
29,Short-Ausstieg,2022-10-27 16:00,SL Short,1664.96,2.9,4811.187,-18.16,-0.38,11.61,0.24,-17.68,-0.37,-262.26,-2.62
29,Short-Einstieg,2022-10-27 14:00,Short,1659.03,2.9,4811.187,-18.16,-0.38,11.61,0.24,-17.68,-0.37,-262.26,-2.62
30,Short-Ausstieg,2022-11-02 17:00,SL Short,1648.92,5.9,9710.102,-20.47,-0.21,0,0.00,-19.5,-0.20,-282.73,-2.83
30,Short-Einstieg,2022-11-02 17:00,Short,1645.78,5.9,9710.102,-20.47,-0.21,0,0.00,-19.5,-0.20,-282.73,-2.83
31,Short-Ausstieg,2022-11-02 23:00,Partial TP,1635.42,2.9,4743.53,-0.14,0.00,2.54,0.05,0,0.00,-283.36,-2.83
31,Short-Einstieg,2022-11-02 21:00,Short,1635.7,2.9,4743.53,-0.14,0.00,2.54,0.05,0,0.00,-283.36,-2.83
32,Short-Ausstieg,2022-11-04 13:00,SL Short,1654.1,3,4907.1,-56.19,-1.14,56.69,1.16,-55.69,-1.13,-339.06,-3.39
32,Short-Einstieg,2022-11-02 21:00,Short,1635.7,3,4907.1,-56.19,-1.14,56.69,1.16,-55.69,-1.13,-339.06,-3.39
