Datum,Nachricht
2022-06-15T23:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T01:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T01:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T01:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T01:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T03:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T03:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T03:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T03:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T05:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T05:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T05:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T05:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T07:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T07:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T07:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T07:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T09:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T09:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T09:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T09:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T11:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T11:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T11:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T11:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T13:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T13:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T13:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T13:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T15:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T15:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T15:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T15:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T17:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T17:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T17:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T17:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T19:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T19:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T19:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T19:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T21:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T21:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T21:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T21:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-16T23:00:00.000+02:00,──── Order Berechnung ────
2022-06-16T23:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-16T23:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-16T23:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-17T01:00:00.000+02:00,──── Order Berechnung ────
2022-06-17T01:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-17T01:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-17T01:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-17T03:00:00.000+02:00,──── Order Berechnung ────
2022-06-17T03:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-17T03:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-17T03:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-17T05:00:00.000+02:00,──── Order Berechnung ────
2022-06-17T05:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-17T05:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-17T05:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-17T07:00:00.000+02:00,──── Order Berechnung ────
2022-06-17T07:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-17T07:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-17T07:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-17T09:00:00.000+02:00,──── Order Berechnung ────
2022-06-17T09:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-17T09:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
