Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-03-01 23:10:00+00:00,24800.75,24809.0,24776.25,24785.5,0
2026-03-01 23:11:00+00:00,24809.25,24813.0,24782.0,24801.75,352
2026-03-01 23:12:00+00:00,24797.5,24815.0,24793.0,24809.0,288
2026-03-01 23:13:00+00:00,24786.5,24799.5,24775.0,24799.5,291
2026-03-01 23:14:00+00:00,24777.0,24784.0,24767.75,24783.25,255
2026-03-01 23:15:00+00:00,24774.25,24791.5,24757.5,24775.5,307
2026-03-01 23:16:00+00:00,24792.5,24793.5,24762.5,24772.75,339
2026-03-01 23:17:00+00:00,24791.25,24801.25,24785.25,24791.25,236
2026-03-01 23:18:00+00:00,24780.5,24797.5,24780.25,24791.75,163
2026-03-01 23:19:00+00:00,24772.25,24787.0,24767.25,24782.25,295
2026-03-01 23:20:00+00:00,24791.5,24800.0,24766.75,24770.75,368
2026-03-01 23:21:00+00:00,24770.0,24793.75,24770.0,24790.5,196
2026-03-01 23:22:00+00:00,24773.75,24783.25,24765.0,24770.0,219
2026-03-01 23:23:00+00:00,24778.25,24781.5,24767.75,24771.5,169
2026-03-01 23:24:00+00:00,24769.5,24776.0,24767.0,24775.75,67
2026-03-01 23:25:00+00:00,24770.0,24774.0,24765.75,24773.75,152
2026-03-01 23:26:00+00:00,24776.5,24783.5,24767.25,24771.5,174
2026-03-01 23:27:00+00:00,24760.0,24783.75,24751.0,24779.0,294
2026-03-01 23:28:00+00:00,24772.5,24773.5,24756.75,24757.75,194
2026-03-01 23:29:00+00:00,24765.25,24775.0,24758.5,24773.5,104
2026-03-01 23:30:00+00:00,24754.5,24767.0,24752.75,24764.75,258
2026-03-01 23:31:00+00:00,24763.0,24769.0,24732.5,24753.0,549
2026-03-01 23:32:00+00:00,24746.0,24764.5,24741.75,24764.5,150
2026-03-01 23:33:00+00:00,24737.5,24753.75,24735.25,24745.0,177
2026-03-01 23:34:00+00:00,24738.25,24746.0,24735.25,24735.25,333
2026-03-01 23:35:00+00:00,24738.0,24752.75,24733.5,24740.25,222
2026-03-01 23:36:00+00:00,24734.5,24749.5,24733.5,24736.0,172
2026-03-01 23:37:00+00:00,24725.0,24742.5,24714.5,24739.0,379
2026-03-01 23:38:00+00:00,24741.75,24742.5,24719.75,24725.25,212
2026-03-01 23:39:00+00:00,24747.75,24750.0,24734.0,24741.25,177
2026-03-01 23:40:00+00:00,24751.25,24757.25,24743.0,24747.75,204
2026-03-01 23:41:00+00:00,24754.5,24755.0,24747.0,24752.5,82
2026-03-01 23:42:00+00:00,24765.25,24773.25,24755.0,24755.0,303
2026-03-01 23:43:00+00:00,24765.25,24770.0,24748.75,24764.5,192
2026-03-01 23:44:00+00:00,24771.25,24776.25,24765.0,24765.75,179
2026-03-01 23:45:00+00:00,24764.5,24779.25,24760.0,24771.25,270
2026-03-01 23:46:00+00:00,24761.5,24770.5,24758.25,24766.0,154
2026-03-01 23:47:00+00:00,24756.25,24768.25,24753.0,24761.5,179
2026-03-01 23:48:00+00:00,24754.75,24762.25,24753.5,24756.25,107
2026-03-01 23:49:00+00:00,24764.25,24768.5,24747.75,24755.0,128
2026-03-01 23:50:00+00:00,24756.5,24765.75,24755.25,24762.0,150
2026-03-01 23:51:00+00:00,24737.75,24758.5,24733.75,24755.5,306
2026-03-01 23:52:00+00:00,24739.5,24744.25,24732.75,24738.0,174
2026-03-01 23:53:00+00:00,24738.0,24744.0,24737.5,24742.5,171
2026-03-01 23:54:00+00:00,24733.25,24746.0,24731.5,24740.0,282
2026-03-01 23:55:00+00:00,24729.25,24738.5,24725.25,24735.25,376
2026-03-01 23:56:00+00:00,24736.75,24743.75,24729.75,24731.25,209
2026-03-01 23:57:00+00:00,24742.25,24743.0,24736.5,24737.25,88
2026-03-01 23:58:00+00:00,24731.0,24743.0,24727.5,24743.0,114
2026-03-01 23:59:00+00:00,24742.0,24743.0,24730.0,24731.75,237
2026-03-02 00:00:00+00:00,24726.5,24743.5,24723.0,24739.25,400
2026-03-02 00:01:00+00:00,24743.75,24747.5,24723.0,24728.0,395
2026-03-02 00:02:00+00:00,24754.0,24762.75,24740.5,24746.25,364
2026-03-02 00:03:00+00:00,24737.5,24753.75,24736.5,24753.5,154
2026-03-02 00:04:00+00:00,24736.25,24746.0,24732.0,24738.75,88
2026-03-02 00:05:00+00:00,24740.5,24749.75,24732.25,24737.0,250
2026-03-02 00:06:00+00:00,24735.75,24749.0,24727.5,24742.25,173
2026-03-02 00:07:00+00:00,24742.75,24752.0,24733.0,24733.0,136
2026-03-02 00:08:00+00:00,24750.0,24758.25,24742.25,24742.25,158
2026-03-02 00:09:00+00:00,24754.75,24765.0,24744.25,24747.75,315
2026-03-02 00:10:00+00:00,24770.25,24778.5,24755.0,24755.5,354
2026-03-02 00:11:00+00:00,24759.75,24775.0,24758.0,24767.0,152
2026-03-02 00:12:00+00:00,24756.0,24760.0,24750.0,24758.75,257
2026-03-02 00:13:00+00:00,24759.0,24761.75,24755.75,24755.75,91
2026-03-02 00:14:00+00:00,24758.5,24764.25,24756.5,24760.0,85
2026-03-02 00:15:00+00:00,24732.0,24758.75,24732.0,24756.25,350
2026-03-02 00:16:00+00:00,24723.0,24733.5,24721.5,24732.5,416
2026-03-02 00:17:00+00:00,24726.5,24732.5,24716.25,24722.75,200
