time,open,high,low,close,MagicTrend,BB Upper,BB Basis,BB Lower
1770595320,6976.8,6977.4,6975.8,6977.2,6974.33601246579,6977.715545214164,6974.619999999998,6971.524454785832
1770595380,6976.9,6977.7,6975.2,6977.7,6974.33601246579,6978.124598005054,6974.859999999999,6971.595401994943
1770595440,6977.6,6979.2,6976.9,6978.9,6974.501307221487,6978.780665025972,6975.115,6971.449334974028
1770595500,6979.1,6979.2,6976.8,6977.6,6974.501307221487,6979.078296732997,6975.284999999999,6971.491703267001
1770595560,6977.3,6978.7,6976.6,6978.7,6974.501307221487,6979.534015231,6975.459999999999,6971.385984768998
1770595620,6978.6,6979.2,6976.8,6976.9,6974.501307221487,6979.641456061612,6975.5199999999995,6971.398543938387
1770595680,6977.2,6979.1,6976.4,6976.7,6974.501307221487,6979.753385618354,6975.634999999999,6971.516614381645
1770595740,6976.8,6979.2,6976.3,6979.1,6974.501307221487,6980.182014948014,6975.794999999998,6971.407985051983
1770595800,6978.7,6978.9,6977.2,6977.2,6974.80651868027,6980.2719515642475,6975.844999999998,6971.418048435749
1770595860,6976.9,6977.4,6974.2,6975.2,6974.80651868027,6980.259805532204,6975.824999999999,6971.390194467794
1770595920,6975.4,6976.4,6973.3,6975.4,6974.80651868027,6980.266917675134,6975.839999999999,6971.413082324864
1770595980,6975.2,6977.2,6975.2,6976.9,6974.80651868027,6980.36476352276,6975.924999999998,6971.485236477237
1770596040,6977.1,6977.8,6975.9,6976.8,6974.80651868027,6980.446927029039,6976.034999999999,6971.623072970959
1770596100,6976.9,6977.3,6974.2,6974.7,6974.80651868027,6980.447736991786,6976.029999999999,6971.612263008212
1770596160,6974.9,6975.2,6973.1,6973.4,6974.80651868027,6980.313281645737,6976.094999999999,6971.876718354261
1770596220,6973.6,6973.8,6970.9,6971.7,6974.80651868027,6980.442942703224,6976.045,6971.647057296776
1770596280,6971.9,6973.7,6971.6,6972.9,6974.80651868027,6980.240970763048,6976.12,6971.999029236952
1770596340,6973.2,6974.9,6973.2,6974.7,6974.80651868027,6980.093809504678,6976.219999999999,6972.346190495321
1770596400,6974.8,6978.7,6974.8,6978.4,6974.80651868027,6980.322618345489,6976.334999999999,6972.347381654509
1770596460,6978.2,6979.2,6977.9,6978.7,6975.486903532067,6980.558446316905,6976.44,6972.321553683094
1770596520,6978.4,6978.9,6977.9,6978.3,6975.769522825653,6980.681394634539,6976.495,6972.308605365461
1770596580,6978.4,6978.7,6977.4,6977.9,6975.769522825653,6980.70379745854,6976.504999999999,6972.306202541458
1770596640,6977.4,6977.4,6975.8,6976.1,6975.769522825653,6980.419269375859,6976.364999999998,6972.310730624137
1770596700,6975.9,6976.4,6974.4,6975.1,6975.769522825653,6980.288407113634,6976.239999999998,6972.191592886362
1770596760,6974.9,6975.2,6973.2,6973.7,6975.769522825653,6980.017356474269,6975.989999999998,6971.962643525727
1770596820,6973.4,6973.7,6971.2,6973.6,6975.769522825653,6979.958702951998,6975.824999999999,6971.691297048
1770596880,6973.7,6974.4,6972.2,6972.3,6975.769522825653,6979.98973490001,6975.604999999998,6971.220265099985
1770596940,6972.4,6972.4,6971.1,6971.1,6974.353216486713,6979.699652398587,6975.204999999997,6970.710347601407
1770597000,6971.2,6972.9,6971.2,6972.6,6974.353216486713,6979.508376247478,6974.974999999997,6970.441623752516
1770597060,6972.4,6972.4,6969.6,6971.8,6974.353216486713,6979.542288271138,6974.804999999998,6970.067711728857
1770597120,6971.7,6972.2,6970.7,6971.1,6974.210446841197,6979.58315533636,6974.5899999999965,6969.596844663633
1770597180,6971.2,6975.2,6971.2,6974.8,6974.210446841197,6979.366505940912,6974.484999999996,6969.60349405908
1770597240,6974.9,6977.1,6974.8,6976.2,6974.210446841197,6979.286345588925,6974.454999999997,6969.62365441107
1770597300,6976.1,6976.7,6975.4,6975.9,6974.210446841197,6979.386662972356,6974.514999999998,6969.643337027639
1770597360,6976.2,6976.2,6974.9,6974.9,6974.210446841197,6979.436813396058,6974.589999999998,6969.743186603939
1770597420,6974.7,6974.9,6972.9,6973.2,6974.210446841197,6979.375106176909,6974.664999999996,6969.954893823084
1770597480,6972.9,6974.7,6972.9,6974.1,6974.210446841197,6979.373817069317,6974.724999999997,6970.076182930677
1770597540,6973.9,6974.2,6973.2,6973.2,6974.210446841197,6979.34616866914,6974.649999999997,6969.953831330854
1770597600,6972.9,6973.7,6972.4,6972.7,6974.210446841197,6978.800887759102,6974.364999999996,6969.92911224089
1770597660,6972.6,6973.7,6971.8,6973.4,6974.210446841197,6978.077939195028,6974.099999999996,6970.122060804963
1770597720,6973.6,6974.1,6971.9,6972.2,6974.210446841197,6977.351107457523,6973.7949999999955,6970.238892542468
1770597780,6972.3,6972.9,6971.7,6971.7,6974.210446841197,6976.610555985579,6973.484999999996,6970.359444014413
1770597840,6971.8,6972.7,6971.7,6972.2,6974.210446841197,6976.219095450021,6973.289999999996,6970.360904549972
1770597900,6971.9,6972.9,6971.7,6972.2,6974.210446841197,6975.987164713851,6973.144999999995,6970.302835286139
1770597960,6972.4,6972.9,6971.2,6971.4,6974.210446841197,6975.957866153407,6973.029999999996,6970.102133846585
1770598020,6971.3,6971.7,6970.1,6970.9,6973.2417363114855,6975.951452229207,6972.894999999995,6969.838547770783
1770598080,6970.8,6970.9,6970.2,6970.2,6972.273389049188,6976.057965760067,6972.789999999996,6969.522034239925
1770598140,6970.1,6970.1,6967.9,6969.4,6971.658711239351,6976.223224009806,6972.704999999996,6969.186775990187
1770598200,6969.3,6970.7,6968.7,6968.9,6971.658711239351,6976.410295650524,6972.519999999995,6968.629704349466
1770598260,6968.7,6970.2,6968.4,6969.9,6971.658711239351,6976.470676731492,6972.424999999996,6968.379323268499
1770598320,6970.2,6970.7,6969.7,6970.2,6971.658711239351,6976.502911607336,6972.379999999997,6968.257088392659
1770598380,6969.4,6969.7,6968.3,6969.2,6971.313648123638,6976.28760076444,6972.099999999997,6967.9123992355535
1770598440,6968.7,6968.7,6967.9,6968.4,6970.25091849891,6975.747771682777,6971.709999999996,6967.672228317216
1770598500,6968.2,6969.2,6967.9,6968.9,6970.25091849891,6975.08580195409,6971.359999999996,6967.634198045902
1770598560,6969.2,6969.4,6968.7,6968.8,6970.25091849891,6974.564116731071,6971.054999999996,6967.54588326892
1770598620,6968.9,6971.4,6968.9,6970.8,6970.25091849891,6974.303842561221,6970.934999999996,6967.5661574387705
1770598680,6970.7,6970.9,6969.4,6970.1,6970.25091849891,6973.788702700569,6970.734999999996,6967.681297299423
1770598740,6970.2,6970.8,6969.3,6969.4,6970.25091849891,6973.429770387553,6970.544999999996,6967.66022961244
1770598800,6969.6,6969.7,6967.9,6968.7,6970.25091849891,6973.158165517052,6970.344999999996,6967.531834482939
1770598860,6968.2,6968.6,6967.1,6967.4,6970.205875823183,6972.769316467068,6970.0449999999955,6967.320683532923
1770598920,6967.7,6968.4,6967.1,6968.2,6969.944700658545,6972.493376903005,6969.844999999996,6967.1966230969865
1770598980,6968.3,6968.4,6966.7,6967.4,6969.944700658545,6972.33857900214,6969.629999999996,6966.921420997851
1770599040,6967.3,6968.2,6966.2,6966.9,6969.860608421469,6972.052954659035,6969.364999999995,6966.677045340955
1770599100,6966.8,6967.3,6965.7,6965.9,6968.948486737176,6971.810797025754,6969.049999999996,6966.289202974237
1770599160,6965.7,6966.9,6964.7,6965.7,6968.65878938974,6971.669668680283,6968.764999999997,6965.86033131971
