Datum,Nachricht
2022-01-04T16:00:00.000+01:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2022-01-04T20:00:00.000+01:00,──── LONG: Fractal High gefunden ────
2022-01-04T20:00:00.000+01:00,FH Preis=1816.70 | H2_EMA20=1812.03 | Abstand=0.26%
2022-01-04T20:00:00.000+01:00,Entry=1816.70 | SL=1798.48 (mode=Volles Fractal Low) | last_fl=1798.48
2022-01-04T20:00:00.000+01:00,→ LONG ORDER PENDING gesetzt: Entry=1816.70 SL=1798.48 InitRisk=18.22
2022-01-04T20:00:00.000+01:00,──── Order Berechnung ────
2022-01-04T20:00:00.000+01:00,Equity=10000 | Risk%=2 | Risk$=200 | pointvalue=1 | mintick=0.01
2022-01-04T20:00:00.000+01:00,Entry=1816.70 | SL=1798.48 | SL-Dist=18.22 | Loss/Kontrakt=18.22 | Qty=10.97694841
2022-01-04T20:00:00.000+01:00,▶ LONG STOP-ORDER platziert: Qty=10.97694841 Entry(Stop)=1816.70 SL=1798.48
2022-01-04T22:00:00.000+01:00,──── Order Berechnung ────
2022-01-04T22:00:00.000+01:00,Equity=10000 | Risk%=2 | Risk$=200 | pointvalue=1 | mintick=0.01
2022-01-04T22:00:00.000+01:00,Entry=1816.70 | SL=1798.48 | SL-Dist=18.22 | Loss/Kontrakt=18.22 | Qty=10.97694841
2022-01-04T22:00:00.000+01:00,▶ LONG STOP-ORDER platziert: Qty=10.97694841 Entry(Stop)=1816.70 SL=1798.48
2022-01-05T00:00:00.000+01:00,──── Order Berechnung ────
2022-01-05T00:00:00.000+01:00,Equity=10000 | Risk%=2 | Risk$=200 | pointvalue=1 | mintick=0.01
2022-01-05T00:00:00.000+01:00,Entry=1816.70 | SL=1798.48 | SL-Dist=18.22 | Loss/Kontrakt=18.22 | Qty=10.97694841
2022-01-05T00:00:00.000+01:00,▶ LONG STOP-ORDER platziert: Qty=10.97694841 Entry(Stop)=1816.70 SL=1798.48
2022-01-05T02:00:00.000+01:00,──── Order Berechnung ────
2022-01-05T02:00:00.000+01:00,Equity=10000 | Risk%=2 | Risk$=200 | pointvalue=1 | mintick=0.01
2022-01-05T02:00:00.000+01:00,Entry=1816.70 | SL=1798.48 | SL-Dist=18.22 | Loss/Kontrakt=18.22 | Qty=10.97694841
2022-01-05T02:00:00.000+01:00,▶ LONG STOP-ORDER platziert: Qty=10.97694841 Entry(Stop)=1816.70 SL=1798.48
2022-01-05T04:00:00.000+01:00,──── Order Berechnung ────
2022-01-05T04:00:00.000+01:00,Equity=10000 | Risk%=2 | Risk$=200 | pointvalue=1 | mintick=0.01
2022-01-05T04:00:00.000+01:00,Entry=1816.70 | SL=1798.48 | SL-Dist=18.22 | Loss/Kontrakt=18.22 | Qty=10.97694841
2022-01-05T04:00:00.000+01:00,▶ LONG STOP-ORDER platziert: Qty=10.97694841 Entry(Stop)=1816.70 SL=1798.48
2022-01-05T06:00:00.000+01:00,──── Order Berechnung ────
2022-01-05T06:00:00.000+01:00,Equity=10000 | Risk%=2 | Risk$=200 | pointvalue=1 | mintick=0.01
2022-01-05T06:00:00.000+01:00,Entry=1816.70 | SL=1798.48 | SL-Dist=18.22 | Loss/Kontrakt=18.22 | Qty=10.97694841
2022-01-05T06:00:00.000+01:00,▶ LONG STOP-ORDER platziert: Qty=10.97694841 Entry(Stop)=1816.70 SL=1798.48
2022-01-05T08:00:00.000+01:00,──── Order Berechnung ────
