Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2026-03-01 23:10:00+00:00,5364.60009765625,5371.0,5364.10009765625,5364.2001953125,0
2026-03-01 23:11:00+00:00,5357.7001953125,5365.10009765625,5354.2998046875,5364.10009765625,379
2026-03-01 23:12:00+00:00,5368.0,5368.2998046875,5356.5,5357.60009765625,335
2026-03-01 23:13:00+00:00,5370.2998046875,5371.2001953125,5362.10009765625,5366.5,245
2026-03-01 23:14:00+00:00,5360.2998046875,5369.60009765625,5355.60009765625,5369.0,456
2026-03-01 23:15:00+00:00,5364.0,5366.0,5359.89990234375,5360.2998046875,257
2026-03-01 23:16:00+00:00,5364.10009765625,5364.89990234375,5357.39990234375,5364.0,182
2026-03-01 23:17:00+00:00,5364.0,5367.0,5363.2001953125,5364.10009765625,209
2026-03-01 23:18:00+00:00,5369.60009765625,5372.0,5363.0,5364.7998046875,346
2026-03-01 23:19:00+00:00,5360.39990234375,5369.7001953125,5360.0,5368.5,379
2026-03-01 23:20:00+00:00,5357.0,5364.10009765625,5357.0,5360.0,279
2026-03-01 23:21:00+00:00,5365.0,5367.0,5357.0,5357.0,264
2026-03-01 23:22:00+00:00,5366.39990234375,5368.5,5360.0,5365.0,247
2026-03-01 23:23:00+00:00,5369.7001953125,5369.89990234375,5362.7001953125,5365.7001953125,159
2026-03-01 23:24:00+00:00,5363.7998046875,5369.7998046875,5363.60009765625,5368.89990234375,123
2026-03-01 23:25:00+00:00,5368.2998046875,5368.89990234375,5362.7001953125,5364.7998046875,163
2026-03-01 23:26:00+00:00,5365.7998046875,5370.0,5364.7001953125,5368.89990234375,73
2026-03-01 23:27:00+00:00,5364.7001953125,5368.60009765625,5363.7001953125,5365.89990234375,136
2026-03-01 23:28:00+00:00,5369.2001953125,5370.5,5363.7998046875,5365.0,176
2026-03-01 23:29:00+00:00,5368.5,5370.7001953125,5365.7001953125,5370.2998046875,165
2026-03-01 23:30:00+00:00,5372.7001953125,5373.89990234375,5366.60009765625,5369.2001953125,163
2026-03-01 23:31:00+00:00,5378.5,5379.39990234375,5370.0,5372.7001953125,362
2026-03-01 23:32:00+00:00,5378.5,5383.7998046875,5376.60009765625,5379.2001953125,563
2026-03-01 23:33:00+00:00,5378.7001953125,5379.89990234375,5375.2998046875,5378.10009765625,161
2026-03-01 23:34:00+00:00,5381.2001953125,5382.7001953125,5378.0,5379.0,143
2026-03-01 23:35:00+00:00,5377.2998046875,5381.7001953125,5377.2998046875,5380.2998046875,79
2026-03-01 23:36:00+00:00,5382.2001953125,5382.60009765625,5377.2001953125,5377.89990234375,132
2026-03-01 23:37:00+00:00,5389.10009765625,5389.7001953125,5382.7001953125,5382.7001953125,256
2026-03-01 23:38:00+00:00,5390.5,5395.0,5386.0,5389.7998046875,393
2026-03-01 23:39:00+00:00,5390.7998046875,5392.10009765625,5383.89990234375,5390.89990234375,187
2026-03-01 23:40:00+00:00,5393.7998046875,5395.39990234375,5389.10009765625,5392.0,190
2026-03-01 23:41:00+00:00,5398.10009765625,5402.89990234375,5391.7001953125,5393.5,715
2026-03-01 23:42:00+00:00,5398.2001953125,5409.7001953125,5395.7001953125,5397.5,406
2026-03-01 23:43:00+00:00,5398.60009765625,5401.0,5390.5,5399.10009765625,212
2026-03-01 23:44:00+00:00,5395.5,5398.60009765625,5393.2998046875,5396.7001953125,120
2026-03-01 23:45:00+00:00,5392.2998046875,5396.0,5387.7998046875,5395.10009765625,169
2026-03-01 23:46:00+00:00,5397.5,5402.0,5391.60009765625,5392.2998046875,230
2026-03-01 23:47:00+00:00,5399.2001953125,5400.10009765625,5393.7998046875,5397.2001953125,182
2026-03-01 23:48:00+00:00,5398.39990234375,5400.39990234375,5395.2998046875,5399.7998046875,235
2026-03-01 23:49:00+00:00,5401.60009765625,5401.89990234375,5398.2998046875,5398.2998046875,77
2026-03-01 23:50:00+00:00,5399.39990234375,5402.5,5396.10009765625,5401.89990234375,119
2026-03-01 23:51:00+00:00,5395.60009765625,5399.2998046875,5395.2998046875,5399.0,53
2026-03-01 23:52:00+00:00,5398.7001953125,5399.5,5396.5,5396.5,70
2026-03-01 23:53:00+00:00,5400.0,5403.0,5396.2998046875,5398.5,113
