Datum,Nachricht
2016-01-26T15:30:00.000+01:00,✦ SHORT SETUP aktiviert – warte auf Fractal Low
2016-01-26T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-01-26T19:30:00.000+01:00,FL Preis=2.04 | H2_EMA20=2.06 | Abstand=1.43%
2016-01-26T19:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=1.43% > Max=0.5%
2016-01-28T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-01-28T19:30:00.000+01:00,FL Preis=2.07 | H2_EMA20=2.09 | Abstand=1.11%
2016-01-28T19:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=1.11% > Max=0.5%
2016-02-01T21:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-02-01T21:30:00.000+01:00,FL Preis=2.12 | H2_EMA20=2.13 | Abstand=0.53%
2016-02-01T21:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=0.53% > Max=0.5%
2016-02-02T15:30:00.000+01:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-02-19T17:30:00.000+01:00,✦ SHORT SETUP aktiviert – warte auf Fractal Low
2016-02-19T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-02-19T19:30:00.000+01:00,FL Preis=1.84 | H2_EMA20=1.90 | Abstand=2.91%
2016-02-19T19:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=2.91% > Max=0.5%
2016-02-24T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-02-24T19:30:00.000+01:00,FL Preis=1.93 | H2_EMA20=1.97 | Abstand=1.9%
2016-02-24T19:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=1.9% > Max=0.5%
2016-02-26T17:30:00.000+01:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-04-11T15:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-04-11T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-04-11T19:30:00.000+02:00,FH Preis=2.82 | H2_EMA20=2.76 | Abstand=2.15%
2016-04-11T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.15% > Max=0.5%
2016-04-13T15:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-04-13T15:30:00.000+02:00,FH Preis=2.85 | H2_EMA20=2.78 | Abstand=2.59%
2016-04-13T15:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=2.59% > Max=0.5%
2016-04-18T15:30:00.000+02:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-05-10T19:30:00.000+02:00,✦ LONG SETUP aktiviert – warte auf Fractal High
2016-05-10T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-05-10T19:30:00.000+02:00,FH Preis=3.68 | H2_EMA20=3.63 | Abstand=1.41%
2016-05-10T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=1.41% > Max=0.5%
2016-05-11T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-05-11T19:30:00.000+02:00,FH Preis=3.68 | H2_EMA20=3.64 | Abstand=1.08%
2016-05-11T19:30:00.000+02:00,✘ LONG: Abstandsfilter blockiert! Abstand=1.08% > Max=0.5%
2016-05-12T19:30:00.000+02:00,──── LONG: Fractal High gefunden ────
2016-05-12T19:30:00.000+02:00,FH Preis=3.68 | H2_EMA20=3.63 | Abstand=1.45%
