Datum,Nachricht
2016-02-03T19:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=6.03% > Max=2%
2016-02-04T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-02-04T19:30:00.000+01:00,FL Preis=2.03 | H2_EMA20=2.09 | Abstand=2.69%
2016-02-04T19:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=2.69% > Max=2%
2016-02-09T15:30:00.000+01:00,⏰ TIMEOUT: 21 Bars ohne Fractal (Max=20) → Setup verfallen
2016-02-19T17:30:00.000+01:00,✦ SHORT SETUP aktiviert – warte auf Fractal Low
2016-02-19T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-02-19T19:30:00.000+01:00,FL Preis=1.84 | H2_EMA20=1.90 | Abstand=2.91%
2016-02-19T19:30:00.000+01:00,✘ SHORT: Abstandsfilter blockiert! Abstand=2.91% > Max=2%
2016-02-24T19:30:00.000+01:00,──── SHORT: Fractal Low gefunden ────
2016-02-24T19:30:00.000+01:00,FL Preis=1.93 | H2_EMA20=1.97 | Abstand=1.9%
2016-02-24T19:30:00.000+01:00,Entry=1.93 | SL=1.99 (mode=Halber Abstand) | last_fh=2.06
2016-02-24T19:30:00.000+01:00,→ SHORT ORDER PENDING gesetzt: Entry=1.93 SL=1.99
2016-02-24T19:30:00.000+01:00,──── Order Berechnung ────
2016-02-24T19:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-02-24T19:30:00.000+01:00,Entry=1.93 | SL=1.99 | SL-Dist=0.06 | Loss/Kontrakt=0.0625 | Qty=1600
2016-02-24T19:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1600 Entry(Stop)=1.93 SL=1.99
2016-02-24T21:30:00.000+01:00,──── Order Berechnung ────
2016-02-24T21:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-02-24T21:30:00.000+01:00,Entry=1.93 | SL=1.99 | SL-Dist=0.06 | Loss/Kontrakt=0.0625 | Qty=1600
2016-02-24T21:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1600 Entry(Stop)=1.93 SL=1.99
2016-02-25T15:30:00.000+01:00,──── Order Berechnung ────
2016-02-25T15:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-02-25T15:30:00.000+01:00,Entry=1.93 | SL=1.99 | SL-Dist=0.06 | Loss/Kontrakt=0.0625 | Qty=1600
