symbol,direction,entry_time,exit_time,entry_price,exit_price,sl_price,lot_size,initial_lot_size,pnl,rr,exit_reason,initial_risk,partial_tp_taken,partial_tp_pnl
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,185.29085584368025,185.2995844267273,185.31811351231167,366.86923358052195,366.86923358052195,-3.5958230794237416,0.0032022485727185262,breakeven,1000.0,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,192.67749306815014,192.6844743379212,192.703742087228,380.9004415922128,380.9004415922128,-4.680191397661941,0.0026596307276633606,breakeven,999.8262958113922,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,189.39547091892788,191.01393006437573,191.03286961146762,368.3744030538395,368.3744030538395,589.1624573251333,0.5962608943916895,stop_loss,999.896064254933,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.88953830174037,191.18409184843335,191.20348080226353,372.20085760037387,372.20085760037387,-1014.0853784073158,-1.007218368867364,stop_loss,999.7529048691977,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,192.8438645499093,192.85273952842712,192.8720239148821,353.48265447519316,353.48265447519316,-3.679858864246527,0.0031516969670244465,breakeven,995.3847078919634,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,195.21025810241701,192.1830123146439,192.20253334045412,330.90785264960374,330.90785264960374,-1008.0988898666401,-1.0064902966046319,stop_loss,995.2797423421807,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,195.18656708853587,192.12023719176705,192.1397558484759,326.6415499094931,326.6415499094931,-1007.8661952189134,-1.0064062572870303,stop_loss,995.2151457348568,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,180.82581214904783,177.93323692256925,177.95131950378416,339.1874181510636,339.1874181510636,-987.1603944005017,-1.006290703594148,stop_loss,974.9917388412059,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.78523374285018,187.80102589164736,187.81980441502165,279.1091817838406,279.1091817838406,-0.8339653380902261,0.0045680768713006565,breakeven,964.899202349265,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.98598076956614,188.00197786720278,188.02077646527974,277.2891215362402,277.2891215362402,-0.7772691781932073,0.004597435777205971,breakeven,964.8467897663239,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,183.6944749014718,186.02664616007118,186.04501560756134,293.86278704164505,293.86278704164505,679.8717150399723,0.7101519048993843,stop_loss,965.0588010568431,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,184.23021289280481,186.02659258627205,186.04501560756134,291.8479088881127,291.8479088881127,518.8405099030916,0.543281905120945,stop_loss,965.0048200864844,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.5463354383196,187.56248363353728,187.58123826708112,276.4678643893283,276.4678643893283,-0.7210428833978977,0.004626615031125914,breakeven,964.9510528840976,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,182.3690651484898,179.37900196110857,179.39723886762343,328.65611434412637,328.65611434412637,-988.5979493860732,-1.0061365991115543,stop_loss,976.7088779752963,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,176.78618719918387,178.3598826780156,178.3775612967355,280.4789207700416,280.4789207700416,436.38579078319555,0.4518910522359225,stop_loss,976.7584627742891,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,180.8361494881766,177.63345305410112,177.65153666904993,303.5731552566653,303.5731552566653,-977.6451366038403,-1.0056784343893228,stop_loss,966.7629617731072,False,0.0
AAPL,long,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,174.03722141810826,174.05498467071533,174.07238839285714,273.3517677248952,273.3517677248952,0.09779272657896776,0.0050511176278055835,breakeven,961.2954713144162,False,0.0
