symbol,entry_time,exit_time,entry_price,exit_price,pnl,rr,exit_reason,initial_risk
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,169.88917214529855,166.3252014165606,-1009.4788863159506,-1.0047896826421059,stop_loss,1000.0
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,173.4559426988874,181.435935808318,1238.0748916657244,1.2536112216830237,stop_loss,989.8573143104195
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,183.76153030395508,180.13650284477234,-999.8173708256779,-1.005095073371539,stop_loss,989.8303417524683
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,184.2782514299665,180.88192443490163,-1000.4797017786312,-1.005455410068803,stop_loss,989.7799091703023
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,185.89070854187014,185.9076180138016,-0.4651461319248167,0.004763427060531025,breakeven,982.1036908080926
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,192.73971546718053,192.75524061367582,-1.0582479537940852,0.004461362059968973,breakeven,981.9303473574729
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,186.23246950422015,191.40640650768822,1378.099243321821,1.4084956725213598,stop_loss,982.0522622319821
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,189.05430488586427,191.40612432415006,832.5573297917749,0.8547766541977145,stop_loss,981.9978228048071
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.53175501142232,190.589935557845,-994.7814949426864,-1.0066222066089645,stop_loss,981.8759617907094
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,181.1981120518276,177.81172136659896,-1004.5533005467894,-1.0053795587952674,stop_loss,993.9591082380471
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,182.4604453495571,186.92623103676388,1033.9624903009983,1.0553416856988005,stop_loss,983.8601046179506
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,183.08820016043526,186.92616826128278,922.2831584744745,0.9420414886035318,stop_loss,983.8176820165488
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,183.6409223828997,186.92611298906053,821.0052545326811,0.839322772771321,stop_loss,983.7734696615538
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,184.86612309047155,186.9259904689898,561.1261700610198,0.5756319094930087,stop_loss,983.727313147005
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,186.2436896732875,186.2661497846058,0.917845426912991,0.005466811594585922,breakeven,983.6764927955746
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,181.7662487574986,178.51074455693924,-1028.343156503347,-1.0056147005364218,stop_loss,1017.0248500748172
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.95550531659808,187.96716169325148,-2.360021164153874,0.0038277960480362777,breakeven,1006.495454253723
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,178.32214627947127,190.37215573092868,2783.8284384602275,2.76971974996962,stop_loss,1006.684315610071
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,180.7664799281529,190.37191129756383,2441.1262258831716,2.429832441273909,stop_loss,1006.6430539188057
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,181.51070720127652,190.3718368748365,2282.5252469107286,2.27244817261011,stop_loss,1006.597022659637
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,185.45373873029436,190.37144257168362,1445.207438597159,1.4413824918179636,stop_loss,1006.5501669213322
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.64491560799738,193.66399460551128,-0.08193177080039327,0.004962868348610364,breakeven,1095.9366045883905
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,197.33959693908693,197.3493304095078,-3.719231258966439,0.0033031283634008513,breakeven,1095.8015978979013
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,196.5590560368129,196.56667227934153,-4.838220868035617,0.002792681563503236,breakeven,1095.8805815010937
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.52048546927313,193.51793008035932,1329.4552634927406,1.2173301949877047,stop_loss,1095.642638950228
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,188.84020745413642,193.51779810816083,1038.5306420635197,0.9518475093877112,stop_loss,1095.6009366709216
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,190.00442221505304,193.51768168668474,850.056032148572,0.7802084421340516,stop_loss,1095.5588357080492
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,190.9996040344238,193.5175821685028,605.2636725302623,0.5567726104692045,stop_loss,1095.5126082690476
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,194.80716002328055,190.7864776776395,-1106.0232906959022,-1.0048687164021008,stop_loss,1095.4663407986861
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,178.70476679120745,175.5534772776631,-1135.2363376676876,-1.0057031876263187,stop_loss,1122.545062165362
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,177.41980013166156,172.51647618143355,-1130.6264984554232,-1.0036314977665577,stop_loss,1122.585828844664
