symbol,entry_time,exit_time,entry_price,exit_price,sl_price,lot_size,pnl,rr,exit_reason,initial_risk
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,185.29085584368025,185.2995844267273,185.31811351231167,366.86923358052195,-3.5958230794237416,0.0032022485727185262,breakeven,1000.0
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,192.67749306815014,192.6844743379212,192.703742087228,380.9004415922128,-4.680191397661941,0.0026596307276633606,breakeven,999.8262958113922
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.88953830174037,191.18409184843335,191.20348080226353,372.20085760037387,-1014.0853784073158,-1.007218368867364,stop_loss,999.7529048691977
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,189.39547091892788,189.40367484477997,189.42261439187186,368.3744030538395,-3.955030277254604,0.003022430427018676,breakeven,999.896064254933
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,192.8438645499093,192.85273952842712,192.8720239148821,351.37636589881583,-3.657931777895004,0.0031516969670244465,breakeven,989.4535330159396
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,195.21025810241701,192.1830123146439,192.20253334045412,328.9360800009452,-1002.0919553008205,-1.0064902966046319,stop_loss,989.3491929218492
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,195.18656708853587,192.12023719176705,192.1397558484759,324.6951987761793,-1001.8606472050844,-1.0064062572870303,stop_loss,989.2849812247729
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,180.82581214904783,177.93323692256925,177.95131950378416,337.1663102549401,-981.278225543122,-1.006290703594148,stop_loss,969.1820790585147
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.78523374285018,187.80102589164736,187.81980441502165,277.44606062722784,-0.8289960089237862,0.004568076871300657,breakeven,959.1496807205975
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.98598076956614,188.00197786720278,188.02077646527974,275.63684552877214,-0.7726376830687043,0.004597435777205972,breakeven,959.0975804472516
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,183.6944749014718,183.70894591026303,183.72731535775318,292.1117539328573,-1.1392024811196242,0.004406457896694749,breakeven,959.3083284312022
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,184.23021289280481,184.24485520420072,184.26327822549,290.1088817852318,-1.0972423059806555,0.0044282970128583675,breakeven,959.254669115951
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,187.5463354383196,187.56248363353728,187.58123826708112,274.8204819870341,-0.7167464225414681,0.004626615031125914,breakeven,959.2012222948975
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,182.3690651484898,179.37900196110857,179.39723886762343,322.6808845462055,-970.6244516554028,-1.006136599111554,stop_loss,958.9515330276193
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,176.78618719918387,176.8033332460785,176.8210118647984,275.3795907045768,-0.14713157840806623,0.00492353525642076,breakeven,959.0002163354925
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,180.8361494881766,177.63345305410112,177.65153666904993,298.05395362319393,-959.8707697289524,-1.0056784343893228,stop_loss,949.1864414998093
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,174.03722141810826,174.05498467071533,174.07238839285714,267.1632604926419,0.0955787624962312,0.0050511176278055835,breakeven,939.5323635574226
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,177.90086490086148,174.2570911674336,174.2748812539237,259.0859936768408,-948.5654956207688,-1.0049062787431817,stop_loss,939.4415762228506
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,182.3088568006243,182.32379198833468,182.34202287401473,280.3513975507753,-0.9243722417849192,0.004503152222620349,breakeven,929.8155026274654
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,177.10521899632045,190.0401448117011,190.05785533360074,250.08287899113026,3230.0509087932496,3.4431635433406025,stop_loss,939.4858672059014
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,179.2109784262521,190.03993423575812,190.05785533360074,256.2116971270273,2769.636100659876,2.983625084828397,stop_loss,929.9107854319091
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,181.5690018245152,190.0396984334183,190.05785533360074,271.89032831100445,2297.9334864176567,2.476812016027802,stop_loss,929.8648694829826
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,186.2001458304269,190.0392353190177,190.05785533360074,386.66952577420267,1477.1106738582073,1.5966127367758889,stop_loss,929.7551483622576
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,186.99498073032925,190.0391558355277,190.05785533360074,448.61899628974584,1357.149262689697,1.4689679807338336,stop_loss,929.6831504401703
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.64139867510113,193.64645487018583,193.66581901005335,426.25052739877884,-6.098984530245243,0.0020704855582851633,breakeven,1040.9180652637906
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.27520446777345,193.28092943756104,193.30025695800782,415.46190250074574,-5.651579426411396,0.002285189908880931,breakeven,1040.835525515479
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,195.82373019627164,193.29240673002516,193.3119891030448,414.35609340382354,-1056.8784912690428,-1.0077963342131229,stop_loss,1040.7552270313247
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,197.05429578508648,197.0583772599792,197.07808268955773,433.00623541312103,-6.765446531162497,0.0017158495329478846,breakeven,1029.987795723228
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,198.43721885681154,196.10082774112703,196.1206714630127,444.5851065863736,-1047.4430439343491,-1.0085660763681321,stop_loss,1029.902469984438
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,185.91070006234304,183.32101556931084,183.33960663931708,396.43528847275047,-1033.9098110176603,-1.0072308029882313,stop_loss,1019.2721628476867
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,188.87295821053638,192.84325281473977,192.86214011056083,326.6377767359468,1290.5492133679272,1.2854598468727514,stop_loss,1008.8593631755008
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,189.06781774248392,192.84323332878657,192.86214011056083,311.59434770677484,1170.389270786088,1.1661388519876634,stop_loss,1008.7976701323454
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,190.00583229064938,192.84313952733177,192.86214011056083,350.8828809084378,988.7960015933987,0.986937925861028,stop_loss,1008.7387576690036
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,191.53857585362022,191.5504954845428,191.56964934212817,324.6085767348103,-2.3486789422219214,0.0038359487443905536,breakeven,1008.67208787518
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.89019530160087,190.564910612951,190.58429963248116,305.0942962998148,-1020.3394188104713,-1.0058649822834032,stop_loss,1008.6099128106823
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,175.38174945286343,175.40124587940218,175.41878405434747,278.8800690466212,0.5455736231181962,0.005264381350818734,breakeven,1032.8212218979345
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,178.77613410949706,175.27434307445526,175.2922206878662,296.44029183138684,-1043.2677941014815,-1.00513147465145,stop_loss,1032.7723114235375
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,175.14343932015555,175.15695878643035,175.17447313036237,329.41236862519014,-1.3164074593718391,0.0043563668736456545,breakeven,1022.2920927693859
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,176.6780198778425,173.2698289827674,173.28749678475518,301.47772902488595,-1032.7173505855626,-1.00521093692705,stop_loss,1022.1672023103985
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,175.7007995060512,172.35913438128333,172.37670446123394,307.5226142970856,-1032.9380284343042,-1.0052856731572735,stop_loss,1022.2343983541904
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,174.429683303833,171.271649667778,171.2890926361084,318.8754887174025,-1012.480952182157,-1.0055540406808325,stop_loss,1001.4573840319983
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,190.25074550083704,190.26044444274902,190.2794695172991,345.06451197886594,-3.218452083483892,0.003376596697328495,breakeven,991.163872255144
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,184.5295503343855,192.54941813871653,192.56787109374997,194.88421637722962,1559.19316824924,1.5766992741172703,stop_loss,991.2769531596664
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,183.56579911368235,192.5495145138386,192.56787109374997,187.94890923183033,1684.8605631859652,1.7033996023080369,stop_loss,991.240991262851
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,186.43452927725656,192.54922764082224,192.56787109374997,228.59507922897666,1393.3883762857872,1.4101904805912218,stop_loss,991.2064902711353
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,193.40481098720002,193.42009434425353,193.43943482535224,286.2380636707542,-1.1617407986272976,0.004414114052382161,breakeven,991.0660389536595
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,196.0281348637172,192.91457769144876,192.9341805049351,320.305526266767,-1003.4687291583142,-1.0063358444285762,stop_loss,991.0106791350579
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,215.52321107046942,215.55362023944852,215.57517256055556,197.68021961205287,1.750222503298791,0.005852251143816288,breakeven,1027.1758771598984
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,204.36438969203402,210.43181281552998,210.45224925449918,245.67120073395546,1485.4214204975167,1.4510132763811339,stop_loss,1027.2760066177977
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,207.28216868809292,209.51981929028102,209.54054750714982,240.84567048161,533.8822654519553,0.5246445907967991,stop_loss,1027.225800172795
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,213.30664928981236,207.43667000863758,207.45800067356654,175.61890615742087,-1034.5223206350238,-1.0036471100126818,stop_loss,1027.1332724842025
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,226.68644245692659,226.7137052680206,226.7363739122663,207.65907799633163,0.9534543148602639,0.005460047360631588,breakeven,1036.8719978858044
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,228.33560551234655,228.3594558027649,228.38228936331615,222.09498635055198,0.22528090296712389,0.005108895243858415,breakeven,1036.8249243881694
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,232.35219339643206,227.61337601069312,227.63661123003277,219.86133962047737,-1046.887076821897,-1.0049273278504647,stop_loss,1036.77421219498
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,219.34738213675362,228.65075769691464,228.6726924351283,189.51471433192532,1758.7932933038596,1.700282213613793,stop_loss,1036.9611276819555
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,225.38379690987722,228.65015405543733,228.6726924351283,211.01889460662014,684.4381239704877,0.6647218377214875,stop_loss,1036.9195581254905
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,235.47939464024134,230.31396721033366,230.3375151497977,199.58967249656197,-1035.5627979687213,-1.0045796365916009,stop_loss,1026.2660435144355
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,224.80128233773368,219.34018559311457,219.36266572134835,191.27947487933935,-1048.7912451280322,-1.0041334276378395,stop_loss,1040.2957304522356
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,232.59180842808314,228.31420485201156,228.33746403285437,242.05017799795303,-1040.9210563851964,-1.0054671598446283,stop_loss,1029.7648181297177
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,231.90055787222724,226.76050347579408,226.7836935315813,199.19565795602378,-1028.3934881960856,-1.0045320833704736,stop_loss,1019.2571590066851
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,229.17973578316824,229.21224000938415,229.23515798296248,183.915346641195,1.76246117422908,0.005864838699400229,breakeven,1019.2993086772348
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,230.38292045593258,230.3999093626785,230.42294765472408,252.0647673617414,-1.5252651287257502,0.004244340663061433,breakeven,1008.9446551522608
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,234.8987103053502,230.71374647889274,230.73723634992328,242.43491477805327,-1020.1746553630207,-1.0056446036385502,stop_loss,1008.886583735012
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,233.9385760171073,233.95675404911043,233.98014790671215,242.67110436296414,-1.2661712864811117,0.004372673981367035,breakeven,1008.8296360861975
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,229.16151395525247,226.0931059040941,226.11602205548962,327.8758367781492,-1013.4699039791687,-1.0075246141345195,stop_loss,998.5432050358202
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,231.81048731122698,246.12365972798486,246.14684077671598,327.8687280404088,4684.7720093799035,4.748237567864725,stop_loss,988.333369472883
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,235.15109890529087,246.12332566682545,246.14684077671598,296.49186469357767,3245.87861599101,3.291830735678946,stop_loss,988.2573660632618
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,234.92103173392158,246.12334867354258,246.14684077671598,296.6617088110263,3315.996948631094,3.3630237136582246,stop_loss,988.1876456754626
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,236.49011775425504,246.12319176494054,246.14684077671598,365.4666581611031,3511.572384464778,3.5629019325827214,stop_loss,988.1179536007527
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,239.92794712611607,246.12284798200338,246.14684077671598,336.2528452671853,2074.777088148309,2.1082860087034208,stop_loss,988.0315243477288
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,252.6456186567034,249.75188594647,249.77715050833567,403.10045590604517,-1176.5324846741585,-1.0088076842965976,stop_loss,1156.2808183589993
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,252.9772454398019,250.03473100557602,250.06002873012,396.32947835439023,-1176.114824217995,-1.008671870163096,stop_loss,1156.1789767949363
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,254.96163553510394,254.9756294827652,255.0011256463187,286.7938849821698,-3.2991665194989555,0.0035436587112070133,breakeven,1132.552241366294
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,228.63960042681015,228.66047511531832,228.683339075361,258.9120070654503,-0.5155867563476688,0.004772595679060158,breakeven,1132.4461282631225
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,239.23647586277554,234.51833126356397,234.54225491115025,241.21709270332582,-1143.7541061810166,-1.00509640424531,stop_loss,1132.3263304580903
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,238.99843428475518,234.2213960353906,234.24529587881906,238.21494890972312,-1143.5414263011899,-1.0050282237518307,stop_loss,1132.268622530914
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,230.83714528764997,230.86120735668183,230.88429107121058,240.18837851519353,0.23441143877613246,0.00510375843068111,breakeven,1132.3869307252814
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,234.78014673505513,230.85208356325967,230.87556157793318,284.1124046935523,-1122.5702675859573,-1.0060129344677478,stop_loss,1109.341078320667
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,236.59679254804342,244.5955174578476,244.61917713710238,277.7137699736138,2214.5632953563827,2.023003266566629,stop_loss,1098.0486716927442
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,241.68634752546038,241.70458369766234,241.7287523324149,258.9137515066094,-1.5364682942188397,0.004300496455867598,breakeven,1097.9187650508388
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,244.0792102268764,244.095063176651,244.11947109767368,272.68565418254974,-2.3332502184963957,0.003937557598894019,breakeven,1097.8561891319132
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,244.23531614031108,244.25148561973572,244.27590915134974,270.4380887605808,-2.232647382942103,0.003983316095778141,breakeven,1097.7896322328002
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,240.61716690063474,240.6342565358734,240.65831825256345,266.81577008882397,-1.8607172600001487,0.00415287334137971,breakeven,1097.982965505522
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,202.31548254830497,202.46489576454164,202.48512731279646,66.0079070037481,8.526025281365866,0.008807416879886199,breakeven,1119.7895838227023
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,212.97239614214217,207.1791780171694,207.20047525678362,194.00408488647952,-1127.9273415669868,-1.0036898010276356,stop_loss,1119.776229401145
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,208.96928781781875,209.0201785161209,209.04107544490267,154.41949312904043,4.630836834779351,0.0070890626100028,breakeven,1108.540898723469
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,211.49025802612306,205.1613315955353,205.1824806213379,175.73680215015779,-1115.8307315890518,-1.0033528491012629,stop_loss,1108.5086297919647
AAPL,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,211.08630441938126,211.11499611133573,211.13610474177767,220.32268041628745,1.6700882951535228,0.0057613466286574365,breakeven,1097.2140515973367
