symbol,entry_time,exit_time,entry_price,exit_price,sl_price,lot_size,pnl,rr,exit_reason,initial_risk
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2017.3382625034878,2000.9901184163557,2001.191852242606,61.933270853566654,-1024.886821999408,-1.012494035701489,stop_loss,1000.0
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,1968.8196672712054,1968.748678161621,1968.9455601283482,78.60860527615209,-21.056413667180017,-0.005638851257767013,breakeven,989.6261914229912
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,1988.377880859375,1988.3224000048829,1988.5212377929688,69.00683743150071,-17.549342368351148,-0.0038701200633456958,breakeven,989.2608611182349
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,1986.9921421595982,1986.9410855932615,1987.1397848074776,66.99443986242964,-16.731906569921925,-0.003458117764073584,breakeven,989.123649449058
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2006.9507141113281,1993.2285957000731,1993.4292907714844,73.11713380209311,-1017.895884116893,-1.014842747421409,stop_loss,988.6477195341001
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2002.6388793945312,1989.2707688269043,1989.4710327148437,75.06929576990348,-1018.467961657105,-1.0152085525303332,stop_loss,988.5009770502023
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2010.4817369733537,2036.1133526354547,2036.314400809152,114.50624278230259,2911.6652369182916,3.0320448519865875,stop_loss,967.9870019021048
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2011.7696428571428,2036.1132238448663,2036.314400809152,119.6343933659249,2887.970626784662,3.0093610051048674,stop_loss,967.7567891922216
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2032.1679055350166,2046.0968669148035,2046.300083705357,87.67146683524066,1203.2340442963914,1.2621727535776652,stop_loss,967.5161123514065
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2061.657451520647,2047.7262753123255,2047.9324410574775,74.70553924885786,-1056.0336805766526,-1.0150211721663351,stop_loss,1025.3343078473022
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2064.745666067941,2048.167744619359,2048.3742191859656,62.70993038392739,-1052.4443456187594,-1.0126118704165332,stop_loss,1026.6522942528372
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2068.035260445731,2048.7677138602558,2048.9745173863002,53.30318800121337,-1037.9422430300044,-1.0108497095522293,stop_loss,1015.99837073967
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2087.744285801479,2121.462682044634,2121.671456473214,45.032374814409444,1508.8660074972895,1.5101007424908315,stop_loss,1005.5087154370894
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2137.265714808873,2114.080543971209,2114.29427054269,43.768022928971824,-1024.0220014072258,-1.009304011058442,stop_loss,1005.4146993538945
XAUUSD,1970-01-01 00:00:01+00:00,1970-01-01 00:00:01+00:00,2106.3103576660155,2081.78899664978,2081.999627685547,41.552417238460336,-1027.5721607006542,-1.0086641181048834,stop_loss,1010.1695955199841
