Datetime,Close,High,Low,Open,Volume
2025-12-02 14:30:00+00:00,309.5199890136719,310.0299987792969,307.0899963378906,308.739990234375,1217810
2025-12-02 15:30:00+00:00,308.7250061035156,310.4800109863281,308.4800109863281,309.5899963378906,696797
2025-12-02 16:30:00+00:00,309.1700134277344,309.5899963378906,308.32000732421875,308.75,561614
2025-12-02 17:30:00+00:00,307.7699890136719,309.3999938964844,307.510009765625,309.1700134277344,493745
2025-12-02 18:30:00+00:00,308.7950134277344,308.9200134277344,307.32000732421875,307.7699890136719,421630
2025-12-02 19:30:00+00:00,308.17498779296875,309.1400146484375,308.1099853515625,308.7950134277344,514558
2025-12-02 20:30:00+00:00,307.8900146484375,308.54998779296875,307.6400146484375,308.20001220703125,711044
2025-12-03 14:30:00+00:00,308.885009765625,309.0150146484375,306.79998779296875,307.20001220703125,1038617
2025-12-03 15:30:00+00:00,309.45001220703125,309.8876037597656,308.7799987792969,308.79998779296875,831106
2025-12-03 16:30:00+00:00,309.4700012207031,309.7349853515625,308.7655944824219,309.3999938964844,959264
2025-12-03 17:30:00+00:00,311.2650146484375,311.8399963378906,309.4599914550781,309.5,733562
2025-12-03 18:30:00+00:00,311.54998779296875,312.1700134277344,311.0799865722656,311.2650146484375,453551
2025-12-03 19:30:00+00:00,311.9302978515625,312.20001220703125,311.32000732421875,311.57000732421875,550478
2025-12-03 20:30:00+00:00,312.1499938964844,312.3599853515625,311.5799865722656,311.9200134277344,978320
2025-12-04 14:30:00+00:00,318.0050048828125,318.489990234375,313.0,313.260009765625,2780556
2025-12-04 15:30:00+00:00,316.32000732421875,318.1014099121094,316.1400146484375,318.0249938964844,644268
2025-12-04 16:30:00+00:00,316.55999755859375,316.95001220703125,315.7200012207031,316.301513671875,531738
2025-12-04 17:30:00+00:00,317.3800048828125,317.4599914550781,316.29998779296875,316.55999755859375,636820
2025-12-04 18:30:00+00:00,316.19500732421875,317.4800109863281,315.9800109863281,317.3599853515625,559993
2025-12-04 19:30:00+00:00,314.8138122558594,317.0400085449219,314.69000244140625,316.1499938964844,749271
2025-12-04 20:30:00+00:00,316.1300048828125,316.1499938964844,314.80999755859375,314.80999755859375,897471
2025-12-05 14:30:00+00:00,317.3955078125,318.4800109863281,315.1400146484375,315.6400146484375,1063032
2025-12-05 15:30:00+00:00,315.2699890136719,317.739990234375,315.1199951171875,317.3900146484375,704980
2025-12-05 16:30:00+00:00,316.67498779296875,316.7900085449219,314.7950134277344,315.2749938964844,515585
2025-12-05 17:30:00+00:00,316.81500244140625,317.19000244140625,316.05010986328125,316.7099914550781,369609
2025-12-05 18:30:00+00:00,315.44000244140625,317.06500244140625,315.0700988769531,316.7799987792969,582247
2025-12-05 19:30:00+00:00,315.93499755859375,315.94000244140625,315.1700134277344,315.44000244140625,501850
2025-12-05 20:30:00+00:00,315.010009765625,315.95989990234375,314.67999267578125,315.92999267578125,867119
2025-12-08 14:30:00+00:00,315.0,316.4700012207031,313.5799865722656,315.05999755859375,1406689
2025-12-08 15:30:00+00:00,315.0199890136719,315.3900146484375,313.9599914550781,315.0350036621094,698464
2025-12-08 16:30:00+00:00,314.43499755859375,315.07000732421875,314.04998779296875,314.9800109863281,552949
2025-12-08 17:30:00+00:00,313.6199951171875,314.7099914550781,313.5299987792969,314.43499755859375,442901
2025-12-08 18:30:00+00:00,313.989990234375,314.55999755859375,313.35009765625,313.54998779296875,438034
2025-12-08 19:30:00+00:00,314.7149963378906,314.7799987792969,313.95001220703125,314.0199890136719,614536
2025-12-08 20:30:00+00:00,315.2900085449219,315.3299865722656,314.3299865722656,314.70001220703125,882123
2025-12-09 14:30:00+00:00,316.95001220703125,317.7099914550781,314.95001220703125,314.95001220703125,1026106
