Date,Close,High,Low,Open,Volume
2024-02-28,166.90426635742188,171.11944186614204,166.16730245733368,171.11944186614204,195300
2024-02-29,170.87957763671875,171.81673085348748,169.12243956053806,169.75262538493345,336600
2024-03-01,169.8274383544922,172.05533494453445,169.0540766524008,171.0183966073286,180900
2024-03-04,166.85223388671875,169.613778475463,166.4465686260854,169.613778475463,176400
2024-03-05,164.4019775390625,168.51716929148097,164.2002174048224,165.13628313800186,195300
2024-03-06,161.1197967529297,165.93242785852007,160.55142748010334,165.93242785852007,234000
2024-03-07,162.87478637695312,165.37926374198472,160.73691816705877,160.73691816705877,210600
2024-03-08,165.70571899414062,169.07792062328838,164.44424537971744,166.60381587486063,271800
2024-03-11,168.44993591308594,170.97392622259844,163.70128124610258,165.73067992030323,202500
2024-03-12,170.885009765625,171.15835792905915,165.7534941913746,168.01392307794544,207000
2024-03-13,174.2474822998047,175.82673797574316,172.14648030177176,172.14648030177176,313200
2024-03-14,178.18910217285156,179.15987462153123,175.71499686062626,176.25732875291095,306000
2024-03-15,180.75758361816406,181.1740928384392,177.99277688392004,177.99277688392004,588600
2024-03-18,181.14913940429688,185.20793692412065,180.4028875254869,181.9019006360089,280800
2024-03-19,182.87374877929688,185.26000013869574,180.82699667384728,183.94430646974035,232200
2024-03-20,183.5028533935547,183.88572845537857,180.05362633974966,182.8737400946077,231300
2024-03-21,184.387939453125,184.74261726511708,182.58957056490416,184.39227405659776,223200
2024-03-22,182.8596649169922,185.58432826469402,181.7836703096567,184.9573896602843,246600
2024-03-25,187.05621337890625,187.05621337890625,184.59511185237133,185.26000429438906,122400
2024-03-26,182.13401794433594,189.68650582225854,181.56782340608828,187.79051155756164,351900
2024-03-27,187.53671264648438,189.31013153559215,182.21645597916105,183.8499461194823,225900
2024-03-28,188.24607849121094,188.53243043922595,185.4736899524859,187.59203002651103,317400
2024-04-01,185.8316192626953,189.1246518450031,184.4617057920194,189.00425115581257,198300
2024-04-02,187.31871032714844,190.97943961512422,184.31853890458842,186.99005500891155,258300
2024-04-03,190.9761505126953,191.72131497188508,186.93796866952678,188.08011425856637,193800
2024-04-04,194.3147430419922,195.6391207761851,191.00870678833792,191.00870678833792,299100
2024-04-05,194.00888061523438,194.9980788265285,190.35790819313414,194.8906968465978,148200
2024-04-08,188.44454956054688,193.64115784757684,188.00526508497487,193.64115784757684,215100
2024-04-09,191.7929229736328,192.46974674988726,188.6398191006341,188.6398191006341,196500
2024-04-10,193.3580780029297,193.94053847335104,186.19281472572166,190.357906834747,312600
2024-04-11,195.7334747314453,196.70640694845338,190.8850348933135,193.35806750854022,353100
2024-04-12,197.1001434326172,205.9997839444375,196.48515111867417,197.15871271055997,226200
2024-04-15,190.0032196044922,198.7954631719605,189.48908502146992,198.10562075659,286500
2024-04-16,190.9859161376953,192.51854847219496,187.72543046632507,188.76670348408348,151200
2024-04-17,190.34486389160156,194.36679441182315,188.50311944144516,190.69304719626984,199500
2024-04-18,189.51187133789062,193.3515703137957,188.4055196678824,190.52712185791677,189300
2024-04-19,189.57696533203125,191.68230175808722,187.94021298189764,189.23855342978442,189300
2024-04-22,190.62147521972656,193.12053037669344,188.19725527428844,188.58447982820988,122700
2024-04-23,191.2722930908203,192.76262227465298,189.0270576278864,189.0270576278864,124200
2024-04-24,191.66273498535156,191.95884347806586,188.7113768475715,190.90781398735103,157800
2024-04-25,192.64218139648438,194.69870475626834,188.57796226702652,191.7831405333849,146100
2024-04-26,193.8299102783203,194.913486657171,191.00870906067038,192.40792202578606,170400
2024-04-29,196.01983642578125,197.80627394635118,193.73879235752534,193.9860881835962,208500
2024-04-30,187.52694702148438,195.2388766926254,186.85337051360776,195.02411273662,299400
2024-05-01,181.79669189453125,189.4500678564594,180.82700677835723,187.26663411117704,174600
