Datetime,Close,High,Low,Open,Volume
2025-12-02 14:30:00+00:00,108.16500091552734,109.20999908447266,107.94999694824219,109.20500183105469,3856657
2025-12-02 15:30:00+00:00,107.92500305175781,108.62999725341797,107.81999969482422,108.16000366210938,1887054
2025-12-02 16:30:00+00:00,108.44999694824219,108.44999694824219,107.5199966430664,107.91999816894531,1634196
2025-12-02 17:30:00+00:00,108.95999908447266,109.16999816894531,108.45149993896484,108.45999908447266,1377594
2025-12-02 18:30:00+00:00,109.31999969482422,109.45999908447266,108.76000213623047,108.95500183105469,1523039
2025-12-02 19:30:00+00:00,109.54000091552734,109.62999725341797,109.2750015258789,109.31999969482422,1194338
2025-12-02 20:30:00+00:00,109.33499908447266,109.7300033569336,109.16000366210938,109.54499816894531,1879108
2025-12-03 14:30:00+00:00,102.86499786376953,106.87000274658203,102.02999877929688,106.57499694824219,11991978
2025-12-03 15:30:00+00:00,103.50499725341797,103.73999786376953,102.51000213623047,102.87000274658203,5459911
2025-12-03 16:30:00+00:00,103.80000305175781,103.83999633789062,103.20999908447266,103.50499725341797,2795629
2025-12-03 17:30:00+00:00,103.56500244140625,103.81999969482422,103.3499984741211,103.80000305175781,2449917
2025-12-03 18:30:00+00:00,103.39990234375,103.66449737548828,103.08000183105469,103.56999969482422,2592187
2025-12-03 19:30:00+00:00,104.18499755859375,104.30999755859375,103.33999633789062,103.3949966430664,3564960
2025-12-03 20:30:00+00:00,103.97000122070312,104.27999877929688,103.5999984741211,104.18000030517578,4121724
2025-12-04 14:30:00+00:00,102.54000091552734,103.63999938964844,102.26000213623047,103.48500061035156,9053564
2025-12-04 15:30:00+00:00,102.12000274658203,102.83999633789062,102.06999969482422,102.53500366210938,5711567
2025-12-04 16:30:00+00:00,102.27999877929688,102.54000091552734,101.7699966430664,102.11499786376953,4164476
2025-12-04 17:30:00+00:00,102.96890258789062,103.11000061035156,102.20999908447266,102.28500366210938,3153877
