Date,Close,High,Low,Open,Volume
2024-02-28,90.19745635986328,91.28079575780173,88.28226851665255,89.08510019424142,5909800
2024-02-29,91.5613021850586,91.69671868543271,88.02110898476023,88.02110898476023,14317000
2024-03-01,120.51155090332031,126.76975705446843,112.63801386477495,120.58893387963374,62169000
2024-03-04,117.79352569580078,124.82554609045278,116.84561016721834,119.89248888873651,23836000
2024-03-05,113.89545440673828,117.54204023072067,110.16181089483783,116.79724942347046,15019200
2024-03-06,114.62091064453125,116.61347432462853,113.1313215531291,115.53980950796624,10569100
2024-03-07,116.55543518066406,118.02567476743381,115.40438744270425,116.07180266954099,9644300
2024-03-08,112.44454956054688,116.81658385340525,111.18710218349533,116.3523008136279,11015200
2024-03-11,112.06731414794922,113.00556230047616,109.91031013072215,111.69975613526314,5936800
2024-03-12,109.83294677734375,114.41778093942493,109.68785554735172,113.46019062891195,6570000
2024-03-13,106.3991470336914,110.58740613804177,105.75108127287398,109.78457443930886,7162000
2024-03-14,102.96536254882812,107.7630037341658,101.5628311655436,107.07623904838584,8069800
2024-03-15,103.49736022949219,105.41254827330677,102.18187917265215,103.53605171700474,9159700
2024-03-18,103.13946533203125,104.33887925745573,101.23395946174405,103.48768132590979,7403800
2024-03-19,104.00033569335938,105.31581676139992,101.61119720120239,103.51670316480467,7971700
2024-03-20,107.43412017822266,107.68561113732167,102.58812060069661,104.37756670316926,9600200
2024-03-21,110.3069076538086,111.98027206477951,108.5755023214326,109.47505911692076,11678000
2024-03-22,108.56582641601562,110.07476490203362,108.13056009829977,109.21389960369133,4711400
2024-03-25,109.30094146728516,111.05168869921246,106.69899633989579,107.62756982432582,6152300
2024-03-26,110.89693450927734,113.02491457245034,109.54276202378256,109.63948704853654,7389200
2024-03-27,108.02415466308594,111.45794833849426,107.29870591867399,110.27788386684078,4376000
2024-03-28,110.3746109008789,110.70347746210648,108.22728139755793,108.57549739159086,4153400
2024-04-01,115.72357940673828,115.79128765885933,110.51002185447854,110.51002185447854,8064100
2024-04-02,114.56285858154297,114.90139982494024,111.53531468287932,113.5472274717055,5503100
2024-04-03,124.37094116210938,125.51230682987581,113.8084086499017,113.93415044898275,19390800
2024-04-04,122.99742126464844,131.7028062874682,122.533130816387,125.59936648295583,19494800
2024-04-05,128.37542724609375,128.56887731723873,119.46691642232443,123.8099347224595,10813500
2024-04-08,122.98774719238281,129.07184497575,121.44979199288129,128.59787980868018,11952300
2024-04-09,119.6797103881836,122.60084765327218,116.50707475888395,122.29132312598036,9985300
2024-04-10,119.33148193359375,121.94309439916003,117.13578632041636,117.2228440050798,5945000
2024-04-11,119.97956085205078,121.66260001714032,119.10902080816072,119.5636365743948,5058300
2024-04-12,113.9051284790039,118.3448712872688,113.76003725305846,117.51302279680434,7501700
2024-04-15,113.95348358154297,118.48995864545573,113.43115961297691,115.10453125558557,6764100
2024-04-16,117.11644744873047,117.75483850846692,111.89321499609885,112.84113793891511,7596700
2024-04-17,115.70423889160156,119.62165761003914,114.43711675700887,118.60603381473136,5346000
2024-04-18,114.49516296386719,115.73326100753204,111.7287844189582,115.6945695212117,5053700
2024-04-19,111.10972595214844,115.27863546846713,110.55838523333217,112.55094864174784,9440000
2024-04-22,112.19242858886719,114.91129897127543,110.93980322580624,111.66807326886405,5410000
2024-04-23,117.13494873046875,117.57191519262673,112.34778677957516,113.00808523515862,5086900
2024-04-24,116.7174072265625,122.35907743231857,115.85319404993723,122.35907743231857,5815900
2024-04-25,121.29094696044922,121.6502220930944,113.61012231462546,114.90158958560664,6823000
2024-04-26,121.43659973144531,122.88343488419864,119.47512900865893,121.98037973455465,5512200
2024-04-29,124.0000991821289,124.02923620439009,119.69845086305101,121.57253257787153,4406300
