Datetime,Close,High,Low,Open,Volume
2025-12-02 14:30:00+00:00,25525.001953125,25601.099609375,25429.736328125,25442.919921875,0
2025-12-02 15:30:00+00:00,25414.302734375,25621.96484375,25399.591796875,25522.482421875,190203516
2025-12-02 16:30:00+00:00,25557.49609375,25564.34375,25369.35546875,25428.587890625,123240047
2025-12-02 17:30:00+00:00,25516.48046875,25572.720703125,25452.19921875,25557.142578125,93368869
2025-12-02 18:30:00+00:00,25537.7890625,25560.671875,25486.59375,25513.74609375,101368906
2025-12-02 19:30:00+00:00,25585.6640625,25591.298828125,25534.076171875,25536.482421875,111954820
2025-12-02 20:30:00+00:00,25555.14453125,25596.76953125,25542.89453125,25584.7890625,113131696
2025-12-03 14:30:00+00:00,25487.177734375,25528.630859375,25388.4375,25439.42578125,0
2025-12-03 15:30:00+00:00,25520.068359375,25557.541015625,25461.86328125,25479.392578125,159017086
2025-12-03 16:30:00+00:00,25576.3671875,25584.515625,25489.107421875,25517.025390625,101647864
2025-12-03 17:30:00+00:00,25580.91796875,25592.126953125,25554.84765625,25576.16796875,80812147
2025-12-03 18:30:00+00:00,25600.966796875,25608.6875,25578.9921875,25583.927734375,91300725
2025-12-03 19:30:00+00:00,25635.755859375,25639.974609375,25597.099609375,25602.251953125,110333374
2025-12-03 20:30:00+00:00,25608.78125,25637.015625,25596.369140625,25634.064453125,116604587
2025-12-04 14:30:00+00:00,25548.0,25655.587890625,25482.494140625,25655.587890625,0
2025-12-04 15:30:00+00:00,25540.314453125,25593.9140625,25470.970703125,25544.85546875,148952333
2025-12-04 16:30:00+00:00,25556.919921875,25604.77734375,25521.548828125,25538.076171875,119546379
2025-12-04 17:30:00+00:00,25579.7578125,25580.552734375,25534.826171875,25558.8828125,90667472
2025-12-04 18:30:00+00:00,25489.744140625,25586.421875,25450.638671875,25577.5390625,95297375
2025-12-04 19:30:00+00:00,25518.837890625,25562.75,25485.494140625,25485.56640625,101464911
2025-12-04 20:30:00+00:00,25583.326171875,25583.326171875,25517.138671875,25517.138671875,103835638
2025-12-05 14:30:00+00:00,25796.568359375,25827.078125,25649.5,25659.185546875,0
2025-12-05 15:30:00+00:00,25660.470703125,25818.6328125,25650.23046875,25796.458984375,180244394
2025-12-05 16:30:00+00:00,25658.021484375,25719.146484375,25619.005859375,25657.58203125,153049316
2025-12-05 17:30:00+00:00,25705.65234375,25706.125,25630.466796875,25657.43359375,118193406
2025-12-05 18:30:00+00:00,25684.365234375,25718.677734375,25671.2578125,25705.642578125,100980324
2025-12-05 19:30:00+00:00,25687.09375,25703.55859375,25666.021484375,25684.19921875,103913968
2025-12-05 20:30:00+00:00,25689.453125,25699.3828125,25639.111328125,25686.953125,114428000
2025-12-08 14:30:00+00:00,25666.7109375,25826.544921875,25624.921875,25770.900390625,0
2025-12-08 15:30:00+00:00,25627.78515625,25687.09765625,25594.9140625,25660.41015625,167457888
2025-12-08 16:30:00+00:00,25579.833984375,25631.755859375,25563.228515625,25628.240234375,124730135
2025-12-08 17:30:00+00:00,25595.83203125,25661.451171875,25576.875,25580.322265625,146503881
2025-12-08 18:30:00+00:00,25561.962890625,25602.9140625,25531.75,25593.1015625,119557127
2025-12-08 19:30:00+00:00,25578.734375,25584.619140625,25546.638671875,25561.681640625,120846697
2025-12-08 20:30:00+00:00,25631.263671875,25631.263671875,25553.21875,25577.751953125,119086789
2025-12-09 14:30:00+00:00,25629.83984375,25631.486328125,25532.337890625,25585.4921875,0
2025-12-09 15:30:00+00:00,25657.857421875,25674.79296875,25605.021484375,25625.552734375,124585793
2025-12-09 16:30:00+00:00,25674.75,25696.24609375,25635.890625,25656.56640625,95865467
2025-12-09 17:30:00+00:00,25692.0703125,25696.095703125,25658.6640625,25675.009765625,90376388
2025-12-09 18:30:00+00:00,25675.384765625,25698.26171875,25658.9765625,25692.14453125,97226482
2025-12-09 19:30:00+00:00,25664.947265625,25681.630859375,25652.798828125,25675.515625,96154051
2025-12-09 20:30:00+00:00,25667.619140625,25687.201171875,25656.65234375,25664.41015625,107218828
2025-12-10 14:30:00+00:00,25607.8359375,25640.369140625,25544.03515625,25634.138671875,0
2025-12-10 15:30:00+00:00,25619.287109375,25620.3984375,25504.677734375,25608.7109375,128360474
2025-12-10 16:30:00+00:00,25595.18359375,25624.669921875,25584.205078125,25619.4765625,95667253
